date,pre_close,open,high,low,close,volume,amt,pct_chg
2019/8/20,3791.0946,3786.026,3799.8977,3778.7306,3787.7324,10860208800,1.49115E+11,-0.0887
2019/8/21,3787.7324,3778.3091,3792.5955,3775.4474,3781.7579,8229988000,1.21689E+11,-0.1577
2019/8/22,3781.7579,3793.8552,3797.329,3771.2048,3793.5061,8580779200,1.20708E+11,0.3107
2019/8/23,3793.5061,3796.8821,3829.3607,3788.0345,3820.8638,8795458300,1.37802E+11,0.7212
2019/8/26,3820.8638,3756.3618,3778.8665,3753.1646,3765.9105,9385926900,1.42351E+11,-1.4382
2019/8/27,3765.9105,3791.4587,3848.2358,3790.873,3816.9459,12473147800,1.81749E+11,1.3552
2019/8/28,3816.9459,3818.8125,3822.5883,3790.1384,3802.5844,8875081200,1.37667E+11,-0.3763
2019/8/29,3802.5844,3805.494,3808.5954,3774.3968,3790.1867,8408338700,1.26476E+11,-0.326
2019/8/30,3790.1867,3816.678,3828.9698,3778.9189,3799.5863,9669515000,1.52409E+11,0.248
2019/9/2,3799.5863,3803.689,3855.7768,3799.8166,3848.3198,11028934900,1.64994E+11,1.2826
2019/9/3,3848.3198,3852.5794,3856.6813,3833.7571,3853.6106,9771463100,1.46271E+11,0.1375
2019/9/4,3853.6106,3848.6483,3886.0012,3846.4215,3886.0012,12662861500,1.7684E+11,0.8405
2019/9/5,3886.0012,3909.2087,3970.0038,3909.2087,3925.323,18165623100,2.44681E+11,1.0119
2019/9/6,3925.323,3946.6854,3948.5397,3922.3361,3948.5075,12188237600,1.81718E+11,0.5906
2019/9/9,3948.5075,3980.9577,3985.239,3954.8755,3972.9484,14680975400,2.09545E+11,0.619
2019/9/10,3972.9484,3976.8697,3976.9225,3938.7441,3959.265,13088938600,1.84494E+11,-0.3444
2019/9/11,3959.265,3969.6757,3971.2237,3922.9531,3930.0999,13159487500,1.90165E+11,-0.7366
2019/9/12,3930.0999,3944.6917,3975.9311,3933.4366,3972.3799,11024127300,1.56751E+11,1.0758
2019/9/16,3972.3799,3981.3616,3982.204,3943.3734,3957.7154,11025980500,1.54737E+11,-0.3692
2019/9/17,3957.7154,3947.1577,3947.1577,3879.4852,3891.2208,11369431700,1.54899E+11,-1.6801
2019/9/18,3891.2208,3902.9947,3923.1462,3902.5109,3910.0837,8205615200,1.3016E+11,0.4848
2019/9/19,3910.0837,3923.9631,3924.3823,3897.0666,3924.3823,8598423800,1.27422E+11,0.3657
2019/9/20,3924.3823,3933.4594,3942.224,3921.4124,3935.6511,10345595500,1.53163E+11,0.2871
2019/9/23,3935.6511,3925.1858,3925.1858,3868.214,3890.6616,9403622500,1.39224E+11,-1.1431
2019/9/24,3890.6616,3895.8661,3927.0115,3886.1404,3901.0758,8778323000,1.42341E+11,0.2677
2019/9/25,3901.0758,3887.5548,3889.839,3867.2277,3870.9837,8952083500,1.33224E+11,-0.7714
2019/9/26,3870.9837,3884.7022,3890.7452,3840.2472,3841.1388,10269830100,1.50807E+11,-0.771
2019/9/27,3841.1388,3843.4584,3859.5003,3832.2466,3852.6534,7400394700,1.0913E+11,0.2998
2019/9/30,3852.6534,3842.0741,3857.2319,3813.5491,3814.5282,6593131300,1.00487E+11,-0.9896
2019/10/8,3814.5282,3818.5894,3861.6429,3818.5894,3837.6791,7665786000,1.18366E+11,0.6069
2019/10/9,3837.6791,3822.6068,3845.3403,3805.0671,3843.2392,7585451200,1.12406E+11,0.1449
2019/10/10,3843.2392,3838.4865,3877.142,3829.4328,3874.6391,7922269400,1.27474E+11,0.817
2019/10/11,3874.6391,3885.5198,3922.3694,3868.8417,3911.7253,9341257700,1.39817E+11,0.9572
2019/10/14,3911.7253,3944.8593,3983.8117,3934.7325,3953.2411,12239361100,1.67857E+11,1.0613
2019/10/15,3953.2411,3953.1645,3953.1645,3928.151,3936.2498,8527394900,1.25117E+11,-0.4298
2019/10/16,3936.2498,3939.276,3964.0456,3919.0169,3922.6854,8322970700,1.28559E+11,-0.3446
2019/10/17,3922.6854,3929.386,3935.8123,3913.9173,3925.2216,6486374500,99991850409,0.0647
2019/10/18,3925.2216,3935.4199,3940.5409,3864.9652,3869.3777,8232114000,1.22187E+11,-1.4227
2019/10/21,3869.3777,3865.3436,3884.7447,3856.0374,3880.8398,7418291800,1.10858E+11,0.2962
2019/10/22,3880.8398,3896.3149,3897.4352,3870.5486,3895.8809,6891856600,1.02843E+11,0.3876
2019/10/23,3895.8809,3892.6766,3901.4243,3862.1965,3871.0848,7019862500,99733598353,-0.6365
2019/10/24,3871.0848,3877.9239,3890.1955,3852.5828,3870.6678,7133457500,1.05097E+11,-0.0108
2019/10/25,3870.6678,3871.7687,3899.7223,3849.0337,3896.7923,7745362000,1.26677E+11,0.6749
2019/10/28,3896.7923,3904.9824,3927.7959,3897.8175,3926.585,9740602000,1.50762E+11,0.7645
2019/10/29,3926.585,3929.7077,3932.3745,3910.226,3910.226,8225707500,1.39611E+11,-0.4166
2019/10/30,3910.226,3904.7172,3908.0999,3883.4468,3891.2255,7787292300,1.22611E+11,-0.4859
2019/10/31,3891.2255,3906.8593,3907.1505,3878.8757,3886.7519,8671453900,1.35012E+11,-0.115
2019/11/1,3886.7519,3883.8084,3956.0797,3876.4164,3952.3872,10068961200,1.51471E+11,1.6887
2019/11/4,3952.3872,3964.0052,3985.3573,3964.0052,3978.1216,10419385500,1.54485E+11,0.6511
2019/11/5,3978.1216,3982.1155,4030.6381,3970.8664,4002.8128,11291188000,1.63318E+11,0.6207
2019/11/6,4002.8128,4006.327,4007.5012,3973.7762,3984.8816,9731295200,1.3986E+11,-0.448
2019/11/7,3984.8816,3984.5529,4005.3829,3975.5475,3991.8749,8725489800,1.17752E+11,0.1755
